Nom de l'annonce,Produit,Créateur,Type de contenu,Angle marketing,Hook,Mois,Statut,Date de lancement,Budget dépensé (€),Conversions (achats),Revenu estimé (€),ROAS,Coût par conversion (€),Impressions,Clics,Taux de clic (%)
AG1_Imagestatique_Pierre_Routine_V274,Shaker,Pierre Moreau,Image statique,Routine matinale,La vérité sur AG1,Août 2025,Arrêtée,05/08/2025,7262,109,10166.8,1.4,66.62,205200,4925,2.4
AG1_Témoignage_Antoine_Focus_V275,Abonnement,Antoine Roux,Témoignage,Focus mental,Avant chaque entraînement...,Novembre 2025,En pause,06/11/2025,4607,98,20409.01,4.43,47.01,175151,5255,3
AG1_Motion-Vidéo_Julie_Routine_V276,Vitamine D3+K2,Julie Petit,Motion/Vidéo,Routine matinale,Pourquoi je ne peux plus m'en passer,Novembre 2025,En ligne,01/11/2025,6967,246,17556.84,2.52,28.32,68167,1363,2
AG1_Motion-Vidéo_Emma_Voyage_V277,Abonnement,Emma Laurent,Motion/Vidéo,Voyage et santé,3 mois plus tard...,Août 2025,En ligne,19/08/2025,3536,233,3182.4,0.9,15.18,334902,8038,2.4
AG1_Témoignage_Marc_Bien-être_V278,Shaker,Marc Dupont,Témoignage,Bien-être global,Ce qui a changé ma vie...,Août 2025,Archivée,26/08/2025,3778,198,10162.82,2.69,19.08,89128,2941,3.3
AG1_UGC_Julie_Bien-être_V279,AG1 Travel Packs,Julie Petit,UGC,Bien-être global,Avant chaque entraînement...,Septembre 2025,Archivée,07/09/2025,5915,129,23778.3,4.02,45.85,382389,16825,4.4
AG1_UGC_Thomas_Bien-être_V280,AG1 Travel Packs,Thomas Bernard,UGC,Bien-être global,3 mois plus tard...,Novembre 2025,En ligne,06/11/2025,737,162,3235.43,4.39,4.55,34934,594,1.7
AG1_UGC_Marc_Immunité_V281,Bundle Complet,Marc Dupont,UGC,Immunité,Mon secret de productivité,Septembre 2025,En ligne,10/09/2025,3770,246,10216.7,2.71,15.33,218144,6108,2.8
AG1_UGC_Camille_Routine_V282,AG1 Powder,Camille Dubois,UGC,Routine matinale,Pourquoi je ne peux plus m'en passer,Novembre 2025,Arrêtée,04/11/2025,4882,223,11765.62,2.41,21.89,347143,14927,4.3
AG1_Témoignage_Pierre_Routine_V283,Bundle Complet,Pierre Moreau,Témoignage,Routine matinale,Mon avis honnête,Septembre 2025,En ligne,06/09/2025,6297,248,5352.45,0.85,25.39,164468,4934,3
AG1_Motion-Vidéo_Sophie_Performance_V284,AG1 Powder,Sophie Martin,Motion/Vidéo,Performance sportive,Ce qui a changé ma vie...,Octobre 2025,En ligne,06/10/2025,2788,55,10455,3.75,50.69,293778,7638,2.6
AG1_Podcast_Thomas_Digestion_V285,AG1 Powder,Thomas Bernard,Podcast,Digestion,Ce que personne ne dit,Juillet 2025,En ligne,13/07/2025,758,241,2516.56,3.32,3.15,206615,4339,2.1
AG1_Imagestatique_Camille_Bien-être_V286,Bundle Complet,Camille Dubois,Image statique,Bien-être global,Mon avis honnête,Novembre 2025,Arrêtée,25/11/2025,2049,91,7950.12,3.88,22.52,371257,6311,1.7
AG1_UGC_Camille_Digestion_V287,Shaker,Camille Dubois,UGC,Digestion,3 mois plus tard...,Novembre 2025,Archivée,27/11/2025,4554,44,15301.44,3.36,103.5,164323,6409,3.9
AG1_Motion-Vidéo_Emma_Performance_V288,Shaker,Emma Laurent,Motion/Vidéo,Performance sportive,Mon secret de productivité,Octobre 2025,Arrêtée,14/10/2025,6525,146,17030.25,2.61,44.69,367275,15058,4.1
AG1_Motion-Vidéo_Sophie_Performance_V289,AG1 Travel Packs,Sophie Martin,Motion/Vidéo,Performance sportive,Avant chaque entraînement...,Octobre 2025,En ligne,10/10/2025,7188,225,6684.84,0.93,31.95,365467,8771,2.4
AG1_Podcast_Marc_Voyage_V290,Omega-3,Marc Dupont,Podcast,Voyage et santé,Ce que personne ne dit,Juillet 2025,En pause,17/07/2025,6965,235,11910.15,1.71,29.64,177336,3192,1.8
AG1_Témoignage_Marc_Voyage_V291,Omega-3,Marc Dupont,Témoignage,Voyage et santé,Avant chaque entraînement...,Août 2025,En pause,25/08/2025,1968,170,4762.56,2.42,11.58,245295,9076,3.7
AG1_Podcast_Pierre_Focus_V292,Omega-3,Pierre Moreau,Podcast,Focus mental,3 mois plus tard...,Juillet 2025,Archivée,14/07/2025,4954,90,15258.32,3.08,55.04,171444,3772,2.2
AG1_Motion-Vidéo_Pierre_Performance_V293,AG1 Travel Packs,Pierre Moreau,Motion/Vidéo,Performance sportive,Avant chaque entraînement...,Septembre 2025,Archivée,27/09/2025,994,121,3667.86,3.69,8.21,197899,8708,4.4
AG1_Imagestatique_Marc_Focus_V294,Bundle Complet,Marc Dupont,Image statique,Focus mental,Mon secret de productivité,Novembre 2025,En pause,23/11/2025,3207,193,5131.2,1.6,16.62,126568,5569,4.4
AG1_Motion-Vidéo_Julie_Digestion_V295,AG1 Powder,Julie Petit,Motion/Vidéo,Digestion,Mon secret de productivité,Novembre 2025,En pause,25/11/2025,3088,238,2593.92,0.84,12.97,189575,4171,2.2
AG1_Imagestatique_Julie_Voyage_V296,Bundle Complet,Julie Petit,Image statique,Voyage et santé,Mon secret de productivité,Septembre 2025,Arrêtée,27/09/2025,592,215,2006.88,3.39,2.75,252053,9830,3.9
AG1_Témoignage_Léa_Focus_V297,Bundle Complet,Léa Garcia,Témoignage,Focus mental,Mon avis honnête,Novembre 2025,Arrêtée,22/11/2025,7954,223,20362.24,2.56,35.67,378726,8332,2.2
AG1_Imagestatique_Studio_Digestion_V298,AG1 Travel Packs,Studio Interne,Image statique,Digestion,Mon avis honnête,Septembre 2025,En pause,01/09/2025,6687,118,12304.08,1.84,56.67,306951,11357,3.7
AG1_Témoignage_Pierre_Routine_V299,Abonnement,Pierre Moreau,Témoignage,Routine matinale,Mon secret de productivité,Août 2025,Arrêtée,01/08/2025,6629,71,10871.56,1.64,93.37,80913,1456,1.8
AG1_Podcast_Camille_Performance_V300,Abonnement,Camille Dubois,Podcast,Performance sportive,Ce que personne ne dit,Septembre 2025,En pause,01/09/2025,4494,60,12178.74,2.71,74.9,481970,19279,4
AG1_Témoignage_Thomas_Bien-être_V301,Shaker,Thomas Bernard,Témoignage,Bien-être global,Pourquoi je ne peux plus m'en passer,Octobre 2025,Archivée,10/10/2025,1740,60,7151.4,4.11,29,152771,6111,4
AG1_Imagestatique_Léa_Routine_V302,Omega-3,Léa Garcia,Image statique,Routine matinale,La vérité sur AG1,Juillet 2025,Arrêtée,19/07/2025,4274,63,6624.7,1.55,67.84,387677,12793,3.3
AG1_Podcast_Léa_Immunité_V303,Shaker,Léa Garcia,Podcast,Immunité,Pourquoi je ne peux plus m'en passer,Août 2025,En pause,26/08/2025,5660,60,25300.2,4.47,94.33,221131,9288,4.2
AG1_Podcast_Pierre_Voyage_V304,Shaker,Pierre Moreau,Podcast,Voyage et santé,Ce que personne ne dit,Août 2025,En ligne,21/08/2025,3795,231,6375.6,1.68,16.43,271845,11146,4.1
AG1_Témoignage_Emma_Focus_V305,Vitamine D3+K2,Emma Laurent,Témoignage,Focus mental,Ce qui a changé ma vie...,Novembre 2025,Archivée,06/11/2025,2136,109,7646.88,3.58,19.6,268694,8061,3
AG1_UGC_Thomas_Voyage_V306,Omega-3,Thomas Bernard,UGC,Voyage et santé,Avant chaque entraînement...,Novembre 2025,En ligne,27/11/2025,3851,53,13439.99,3.49,72.66,496993,20874,4.2
AG1_Podcast_Julie_Routine_V307,Bundle Complet,Julie Petit,Podcast,Routine matinale,Avant chaque entraînement...,Août 2025,Archivée,15/08/2025,4807,191,16439.94,3.42,25.17,79660,3346,4.2
AG1_Podcast_Sophie_Énergie_V308,Vitamine D3+K2,Sophie Martin,Podcast,Énergie quotidienne,Mon avis honnête,Juillet 2025,En pause,17/07/2025,4942,46,9192.12,1.86,107.43,290599,12205,4.2
AG1_UGC_Marc_Routine_V309,Omega-3,Marc Dupont,UGC,Routine matinale,Avant chaque entraînement...,Août 2025,En pause,04/08/2025,5116,80,20822.12,4.07,63.95,234641,3989,1.7
AG1_Imagestatique_Julie_Immunité_V310,Omega-3,Julie Petit,Image statique,Immunité,3 mois plus tard...,Août 2025,En pause,27/08/2025,1642,107,2873.5,1.75,15.35,373297,13439,3.6
AG1_Imagestatique_Studio_Routine_V311,Bundle Complet,Studio Interne,Image statique,Routine matinale,Ce que personne ne dit,Octobre 2025,Archivée,26/10/2025,2192,66,7321.28,3.34,33.21,398009,15124,3.8
AG1_Podcast_Pierre_Routine_V312,Omega-3,Pierre Moreau,Podcast,Routine matinale,Mon avis honnête,Octobre 2025,Archivée,03/10/2025,1160,112,3224.8,2.78,10.36,214698,6441,3
AG1_Motion-Vidéo_Thomas_Énergie_V313,AG1 Travel Packs,Thomas Bernard,Motion/Vidéo,Énergie quotidienne,La vérité sur AG1,Août 2025,Arrêtée,10/08/2025,6136,50,20739.68,3.38,122.72,26350,949,3.6
AG1_UGC_Marc_Digestion_V314,Vitamine D3+K2,Marc Dupont,UGC,Digestion,Mon avis honnête,Octobre 2025,Arrêtée,07/10/2025,3630,34,3448.5,0.95,106.76,395195,11856,3
AG1_Témoignage_Sophie_Performance_V315,Abonnement,Sophie Martin,Témoignage,Performance sportive,La vérité sur AG1,Août 2025,Archivée,20/08/2025,3210,71,6066.9,1.89,45.21,413163,16527,4
AG1_Imagestatique_Sophie_Voyage_V316,AG1 Travel Packs,Sophie Martin,Image statique,Voyage et santé,Mon secret de productivité,Juillet 2025,Archivée,23/07/2025,769,205,2591.53,3.37,3.75,74854,2171,2.9
AG1_Motion-Vidéo_Marc_Énergie_V317,Bundle Complet,Marc Dupont,Motion/Vidéo,Énergie quotidienne,Mon secret de productivité,Octobre 2025,Archivée,06/10/2025,6745,197,10387.3,1.54,34.24,406655,7726,1.9
AG1_Imagestatique_Emma_Bien-être_V318,Vitamine D3+K2,Emma Laurent,Image statique,Bien-être global,La vérité sur AG1,Juillet 2025,Arrêtée,19/07/2025,7969,69,9722.18,1.22,115.49,470460,12232,2.6
AG1_UGC_Studio_Immunité_V319,Omega-3,Studio Interne,UGC,Immunité,Ce que personne ne dit,Novembre 2025,Archivée,12/11/2025,3990,41,7102.2,1.78,97.32,48566,1651,3.4
AG1_Imagestatique_Marc_Immunité_V320,Bundle Complet,Marc Dupont,Image statique,Immunité,La vérité sur AG1,Juillet 2025,En ligne,12/07/2025,3316,180,12832.92,3.87,18.42,381862,15274,4
AG1_UGC_Léa_Digestion_V321,AG1 Powder,Léa Garcia,UGC,Digestion,La vérité sur AG1,Juillet 2025,Archivée,18/07/2025,1332,75,4235.76,3.18,17.76,60957,1768,2.9
AG1_Podcast_Thomas_Focus_V322,Abonnement,Thomas Bernard,Podcast,Focus mental,La vérité sur AG1,Juillet 2025,Arrêtée,10/07/2025,4911,154,19791.33,4.03,31.89,344002,7568,2.2
AG1_Motion-Vidéo_Marc_Routine_V323,Bundle Complet,Marc Dupont,Motion/Vidéo,Routine matinale,Ce que personne ne dit,Juillet 2025,Archivée,26/07/2025,6163,94,5300.18,0.86,65.56,202113,4042,2
AG1_UGC_Léa_Bien-être_V324,AG1 Travel Packs,Léa Garcia,UGC,Bien-être global,Mon secret de productivité,Septembre 2025,Archivée,14/09/2025,7549,94,26421.5,3.5,80.31,232819,10011,4.3
AG1_Témoignage_Sophie_Immunité_V325,Shaker,Sophie Martin,Témoignage,Immunité,Mon secret de productivité,Juillet 2025,En pause,25/07/2025,5567,177,16701,3,31.45,351619,10900,3.1
AG1_Motion-Vidéo_Thomas_Performance_V326,AG1 Powder,Thomas Bernard,Motion/Vidéo,Performance sportive,Avant chaque entraînement...,Octobre 2025,En ligne,26/10/2025,2318,192,6907.64,2.98,12.07,23472,422,1.8
AG1_Témoignage_Camille_Bien-être_V327,Omega-3,Camille Dubois,Témoignage,Bien-être global,La vérité sur AG1,Septembre 2025,En pause,19/09/2025,6058,88,22778.08,3.76,68.84,418193,11291,2.7
AG1_Imagestatique_Léa_Routine_V328,Bundle Complet,Léa Garcia,Image statique,Routine matinale,Avant chaque entraînement...,Septembre 2025,En ligne,01/09/2025,1091,153,4342.18,3.98,7.13,94722,1516,1.6
AG1_Podcast_Léa_Énergie_V329,Omega-3,Léa Garcia,Podcast,Énergie quotidienne,Mon secret de productivité,Novembre 2025,En pause,22/11/2025,5315,244,11799.3,2.22,21.78,342811,7885,2.3
AG1_UGC_Sophie_Performance_V330,AG1 Travel Packs,Sophie Martin,UGC,Performance sportive,Pourquoi je ne peux plus m'en passer,Novembre 2025,Archivée,10/11/2025,1903,20,3158.98,1.66,95.15,495545,15857,3.2
AG1_Podcast_Marc_Performance_V331,Bundle Complet,Marc Dupont,Podcast,Performance sportive,Ce que personne ne dit,Novembre 2025,Arrêtée,11/11/2025,7155,235,15240.15,2.13,30.45,273251,4372,1.6
AG1_Témoignage_Thomas_Focus_V332,Abonnement,Thomas Bernard,Témoignage,Focus mental,Mon avis honnête,Juillet 2025,En pause,23/07/2025,7338,207,7484.76,1.02,35.45,268788,7257,2.7
AG1_Motion-Vidéo_Pierre_Bien-être_V333,Shaker,Pierre Moreau,Motion/Vidéo,Bien-être global,Avant chaque entraînement...,Novembre 2025,En pause,05/11/2025,7210,232,7065.8,0.98,31.08,182832,7679,4.2
AG1_Imagestatique_Emma_Énergie_V334,Vitamine D3+K2,Emma Laurent,Image statique,Énergie quotidienne,Ce qui a changé ma vie...,Octobre 2025,Archivée,24/10/2025,6417,179,11293.92,1.76,35.85,231509,3936,1.7
AG1_Motion-Vidéo_Sophie_Focus_V335,Abonnement,Sophie Martin,Motion/Vidéo,Focus mental,Avant chaque entraînement...,Novembre 2025,Archivée,01/11/2025,2868,90,10955.76,3.82,31.87,191714,4793,2.5
AG1_Témoignage_Antoine_Focus_V336,AG1 Travel Packs,Antoine Roux,Témoignage,Focus mental,Ce qui a changé ma vie...,Septembre 2025,Arrêtée,22/09/2025,2757,103,10228.47,3.71,26.77,354800,14192,4.00
AG1_Motion-Vidéo_Julie_Focus_V337,AG1 Travel Packs,Julie Petit,Motion/Vidéo,Focus mental,Avant chaque entraînement...,Septembre 2025,Arrêtée,24/09/2025,3553,43,12471.03,3.51,82.63,31844,541,1.7
AG1_Podcast_Thomas_Immunité_V338,Abonnement,Thomas Bernard,Podcast,Immunité,Ce que personne ne dit,Septembre 2025,En ligne,19/09/2025,3722,5,7853.42,2.11,744.4,384674,7309,1.9
AG1_Motion-Vidéo_Pierre_Voyage_V339,Bundle Complet,Pierre Moreau,Motion/Vidéo,Voyage et santé,Pourquoi je ne peux plus m'en passer,Novembre 2025,Arrêtée,22/11/2025,2349,96,9161.1,3.9,24.47,183879,3310,1.8
AG1_UGC_Antoine_Focus_V340,Vitamine D3+K2,Antoine Roux,UGC,Focus mental,La vérité sur AG1,Août 2025,En pause,12/08/2025,2179,22,7212.49,3.31,99.05,290354,9582,3.3
AG1_Motion-Vidéo_Sophie_Performance_V341,Omega-3,Sophie Martin,Motion/Vidéo,Performance sportive,Mon secret de productivité,Août 2025,En pause,13/08/2025,7269,81,8650.11,1.19,89.74,48848,1465,3
AG1_UGC_Emma_Immunité_V342,AG1 Travel Packs,Emma Laurent,UGC,Immunité,La vérité sur AG1,Novembre 2025,Archivée,23/11/2025,2340,80,4024.8,1.72,29.25,205741,7201,3.5
AG1_Témoignage_Camille_Voyage_V343,Vitamine D3+K2,Camille Dubois,Témoignage,Voyage et santé,Pourquoi je ne peux plus m'en passer,Juillet 2025,Arrêtée,08/07/2025,6275,105,5145.5,0.82,59.76,496458,7447,1.5
AG1_UGC_Sophie_Énergie_V344,Omega-3,Sophie Martin,UGC,Énergie quotidienne,La vérité sur AG1,Septembre 2025,Arrêtée,05/09/2025,7212,97,16515.48,2.29,74.35,110699,2435,2.2
AG1_Podcast_Studio_Immunité_V345,AG1 Travel Packs,Studio Interne,Podcast,Immunité,Mon avis honnête,Octobre 2025,Arrêtée,25/10/2025,4244,204,8912.4,2.1,20.8,456944,10967,2.4
AG1_Podcast_Julie_Performance_V346,Bundle Complet,Julie Petit,Podcast,Performance sportive,Mon secret de productivité,Juillet 2025,Arrêtée,25/07/2025,2388,128,7355.04,3.08,18.66,130186,2604,2
AG1_Témoignage_Marc_Focus_V347,AG1 Powder,Marc Dupont,Témoignage,Focus mental,Pourquoi je ne peux plus m'en passer,Août 2025,En ligne,15/08/2025,4489,107,11267.39,2.51,41.95,47633,1524,3.2
AG1_Podcast_Pierre_Énergie_V348,Bundle Complet,Pierre Moreau,Podcast,Énergie quotidienne,3 mois plus tard...,Août 2025,En pause,19/08/2025,3208,190,6255.6,1.95,16.88,168766,6919,4.1
AG1_Podcast_Studio_Voyage_V349,Omega-3,Studio Interne,Podcast,Voyage et santé,Mon avis honnête,Août 2025,Archivée,04/08/2025,4281,100,7106.46,1.66,42.81,150549,5420,3.6
AG1_Imagestatique_Marc_Digestion_V350,Shaker,Marc Dupont,Image statique,Digestion,Ce que personne ne dit,Octobre 2025,En ligne,27/10/2025,1785,46,3534.3,1.98,38.8,217182,5430,2.5
AG1_Motion-Vidéo_Emma_Digestion_V351,Vitamine D3+K2,Emma Laurent,Motion/Vidéo,Digestion,La vérité sur AG1,Octobre 2025,En ligne,01/10/2025,832,67,2720.64,3.27,12.42,264404,4495,1.7
AG1_Motion-Vidéo_Antoine_Digestion_V352,Bundle Complet,Antoine Roux,Motion/Vidéo,Digestion,Mon secret de productivité,Novembre 2025,Archivée,23/11/2025,2865,161,6961.95,2.43,17.8,28881,1155,4
AG1_Imagestatique_Emma_Voyage_V353,AG1 Travel Packs,Emma Laurent,Image statique,Voyage et santé,Ce qui a changé ma vie...,Novembre 2025,Archivée,26/11/2025,1031,164,3690.98,3.58,6.29,85408,3416,4
AG1_Imagestatique_Sophie_Routine_V354,AG1 Travel Packs,Sophie Martin,Image statique,Routine matinale,Avant chaque entraînement...,Octobre 2025,Arrêtée,11/10/2025,5957,45,9412.06,1.58,132.38,92495,3885,4.2
AG1_UGC_Studio_Immunité_V355,Omega-3,Studio Interne,UGC,Immunité,Pourquoi je ne peux plus m'en passer,Novembre 2025,Archivée,22/11/2025,7677,105,10824.57,1.41,73.11,252038,3781,1.5
AG1_Podcast_Emma_Routine_V356,Vitamine D3+K2,Emma Laurent,Podcast,Routine matinale,Pourquoi je ne peux plus m'en passer,Septembre 2025,En ligne,10/09/2025,1933,17,1701.04,0.88,113.71,51088,1533,3
AG1_Témoignage_Julie_Routine_V357,Vitamine D3+K2,Julie Petit,Témoignage,Routine matinale,Ce qui a changé ma vie...,Août 2025,Archivée,26/08/2025,6242,246,16790.98,2.69,25.37,414165,6212,1.5
AG1_Podcast_Julie_Bien-être_V358,Vitamine D3+K2,Julie Petit,Podcast,Bien-être global,La vérité sur AG1,Juillet 2025,Archivée,16/07/2025,1162,25,4322.64,3.72,46.48,215461,7972,3.7
AG1_Imagestatique_Léa_Focus_V359,Abonnement,Léa Garcia,Image statique,Focus mental,3 mois plus tard...,Septembre 2025,Archivée,04/09/2025,2072,243,7542.08,3.64,8.53,312945,13144,4.2
AG1_Imagestatique_Thomas_Focus_V360,Abonnement,Thomas Bernard,Image statique,Focus mental,3 mois plus tard...,Juillet 2025,Archivée,27/07/2025,1302,99,1419.18,1.09,13.15,100262,4311,4.3
AG1_Motion-Vidéo_Pierre_Énergie_V361,Shaker,Pierre Moreau,Motion/Vidéo,Énergie quotidienne,Avant chaque entraînement...,Novembre 2025,Arrêtée,06/11/2025,1287,135,4311.45,3.35,9.53,303905,12156,4
AG1_Imagestatique_Emma_Performance_V362,Shaker,Emma Laurent,Image statique,Performance sportive,3 mois plus tard...,Juillet 2025,En pause,11/07/2025,5666,52,7139.16,1.26,108.96,89248,2499,2.8
AG1_Motion-Vidéo_Marc_Énergie_V363,Shaker,Marc Dupont,Motion/Vidéo,Énergie quotidienne,La vérité sur AG1,Octobre 2025,En ligne,06/10/2025,3888,16,15046.56,3.87,243,254694,10188,4
AG1_Motion-Vidéo_Sophie_Bien-être_V364,AG1 Travel Packs,Sophie Martin,Motion/Vidéo,Bien-être global,Ce que personne ne dit,Juillet 2025,Archivée,13/07/2025,4571,113,9553.39,2.09,40.45,369185,5907,1.6
AG1_Imagestatique_Julie_Immunité_V365,Abonnement,Julie Petit,Image statique,Immunité,Mon avis honnête,Septembre 2025,En pause,22/09/2025,5193,157,10749.51,2.07,33.08,112909,3387,3
AG1_Témoignage_Thomas_Énergie_V366,Vitamine D3+K2,Thomas Bernard,Témoignage,Énergie quotidienne,Ce que personne ne dit,Novembre 2025,En pause,11/11/2025,3974,43,11047.72,2.78,92.42,289004,12716,4.4
AG1_Imagestatique_Thomas_Énergie_V367,Omega-3,Thomas Bernard,Image statique,Énergie quotidienne,Ce qui a changé ma vie...,Août 2025,En ligne,06/08/2025,5155,48,15001.05,2.91,107.4,32109,674,2.1
AG1_Podcast_Sophie_Digestion_V368,Bundle Complet,Sophie Martin,Podcast,Digestion,Mon secret de productivité,Novembre 2025,Archivée,19/11/2025,4214,236,5899.6,1.4,17.86,99805,3294,3.3
AG1_UGC_Sophie_Bien-être_V369,Vitamine D3+K2,Sophie Martin,UGC,Bien-être global,Mon avis honnête,Novembre 2025,Arrêtée,25/11/2025,3614,235,13841.62,3.83,15.38,434561,9995,2.3
AG1_Imagestatique_Sophie_Énergie_V370,Omega-3,Sophie Martin,Image statique,Énergie quotidienne,Pourquoi je ne peux plus m'en passer,Juillet 2025,Arrêtée,13/07/2025,7747,148,12395.2,1.6,52.34,206044,4533,2.2
AG1_Podcast_Emma_Immunité_V371,Abonnement,Emma Laurent,Podcast,Immunité,Pourquoi je ne peux plus m'en passer,Novembre 2025,En pause,02/11/2025,5946,31,5232.48,0.88,191.81,230730,9229,4
AG1_UGC_Sophie_Bien-être_V372,AG1 Powder,Sophie Martin,UGC,Bien-être global,Mon avis honnête,Août 2025,Archivée,04/08/2025,4523,234,7236.8,1.6,19.33,214909,8596,4
AG1_Motion-Vidéo_Studio_Focus_V373,Omega-3,Studio Interne,Motion/Vidéo,Focus mental,3 mois plus tard...,Août 2025,Archivée,01/08/2025,1647,71,2651.67,1.61,23.2,23638,402,1.7
AG1_Podcast_Camille_Digestion_V374,Abonnement,Camille Dubois,Podcast,Digestion,Mon secret de productivité,Août 2025,Arrêtée,27/08/2025,2397,194,10522.83,4.39,12.36,430782,6462,1.5
AG1_Motion-Vidéo_Emma_Voyage_V375,AG1 Travel Packs,Emma Laurent,Motion/Vidéo,Voyage et santé,La vérité sur AG1,Août 2025,Archivée,25/08/2025,1024,71,2682.88,2.62,14.42,226252,3394,1.5
AG1_Témoignage_Julie_Focus_V376,Abonnement,Julie Petit,Témoignage,Focus mental,Pourquoi je ne peux plus m'en passer,Septembre 2025,Archivée,25/09/2025,1338,98,1324.62,0.99,13.65,309562,13621,4.4
AG1_Podcast_Léa_Voyage_V377,Abonnement,Léa Garcia,Podcast,Voyage et santé,La vérité sur AG1,Septembre 2025,Arrêtée,23/09/2025,4450,42,14284.5,3.21,105.95,52272,2248,4.3
AG1_Podcast_Antoine_Focus_V378,Bundle Complet,Antoine Roux,Podcast,Focus mental,3 mois plus tard...,Octobre 2025,En ligne,05/10/2025,4750,60,9547.5,2.01,79.17,82169,2054,2.5
AG1_Motion-Vidéo_Sophie_Énergie_V379,Bundle Complet,Sophie Martin,Motion/Vidéo,Énergie quotidienne,Ce qui a changé ma vie...,Septembre 2025,Archivée,21/09/2025,3641,236,14163.49,3.89,15.43,139713,6008,4.3
AG1_Motion-Vidéo_Sophie_Focus_V380,AG1 Powder,Sophie Martin,Motion/Vidéo,Focus mental,Ce qui a changé ma vie...,Novembre 2025,Arrêtée,23/11/2025,6716,208,17125.8,2.55,32.29,388686,15936,4.1
AG1_Motion-Vidéo_Studio_Bien-être_V381,AG1 Powder,Studio Interne,Motion/Vidéo,Bien-être global,La vérité sur AG1,Juillet 2025,Arrêtée,02/07/2025,4127,34,8542.89,2.07,121.38,242586,6792,2.8
AG1_Motion-Vidéo_Thomas_Bien-être_V382,Vitamine D3+K2,Thomas Bernard,Motion/Vidéo,Bien-être global,La vérité sur AG1,Août 2025,Arrêtée,26/08/2025,4156,154,10099.08,2.43,26.99,130864,3533,2.7
AG1_Motion-Vidéo_Thomas_Bien-être_V383,Abonnement,Thomas Bernard,Motion/Vidéo,Bien-être global,Ce que personne ne dit,Octobre 2025,En pause,11/10/2025,7562,202,23744.68,3.14,37.44,127098,4448,3.5
AG1_Motion-Vidéo_Sophie_Routine_V384,AG1 Powder,Sophie Martin,Motion/Vidéo,Routine matinale,Avant chaque entraînement...,Novembre 2025,Arrêtée,25/11/2025,6474,122,26931.84,4.16,53.07,450868,18035,4
AG1_Imagestatique_Pierre_Immunité_V385,Vitamine D3+K2,Pierre Moreau,Image statique,Immunité,Mon avis honnête,Octobre 2025,En pause,15/10/2025,1077,219,4674.18,4.34,4.92,471434,15086,3.2
AG1_Podcast_Julie_Immunité_V386,AG1 Powder,Julie Petit,Podcast,Immunité,Pourquoi je ne peux plus m'en passer,Septembre 2025,Arrêtée,10/09/2025,7038,135,22873.5,3.25,52.13,164688,5764,3.5
AG1_Témoignage_Studio_Routine_V387,AG1 Travel Packs,Studio Interne,Témoignage,Routine matinale,Ce qui a changé ma vie...,Août 2025,En ligne,25/08/2025,3337,22,5873.12,1.76,151.68,494113,17788,3.6
AG1_Imagestatique_Pierre_Focus_V388,AG1 Powder,Pierre Moreau,Image statique,Focus mental,Mon secret de productivité,Novembre 2025,En ligne,16/11/2025,1381,63,3797.75,2.75,21.92,141103,5503,3.9
AG1_Motion-Vidéo_Sophie_Focus_V389,Abonnement,Sophie Martin,Motion/Vidéo,Focus mental,Avant chaque entraînement...,Septembre 2025,En ligne,02/09/2025,6803,130,13333.88,1.96,52.33,289762,8113,2.8
AG1_Podcast_Emma_Digestion_V390,Bundle Complet,Emma Laurent,Podcast,Digestion,3 mois plus tard...,Novembre 2025,En ligne,27/11/2025,4005,64,9812.25,2.45,62.58,383952,11903,3.1
AG1_Motion-Vidéo_Julie_Digestion_V391,Omega-3,Julie Petit,Motion/Vidéo,Digestion,La vérité sur AG1,Août 2025,Arrêtée,22/08/2025,7913,57,25479.86,3.22,138.82,64003,2112,3.3
AG1_Témoignage_Thomas_Performance_V392,Abonnement,Thomas Bernard,Témoignage,Performance sportive,Mon avis honnête,Septembre 2025,En ligne,23/09/2025,3504,242,13069.92,3.73,14.48,259588,11162,4.3
AG1_Motion-Vidéo_Thomas_Bien-être_V393,Abonnement,Thomas Bernard,Motion/Vidéo,Bien-être global,3 mois plus tard...,Juillet 2025,En ligne,08/07/2025,6531,140,24425.94,3.74,46.65,67565,2297,3.4
AG1_Imagestatique_Thomas_Performance_V394,AG1 Travel Packs,Thomas Bernard,Image statique,Performance sportive,Mon avis honnête,Août 2025,En pause,21/08/2025,2403,8,6319.89,2.63,300.38,409703,6555,1.6
AG1_Motion-Vidéo_Antoine_Digestion_V395,Bundle Complet,Antoine Roux,Motion/Vidéo,Digestion,La vérité sur AG1,Août 2025,En pause,05/08/2025,1140,83,1527.6,1.34,13.73,326573,10124,3.1
AG1_Podcast_Julie_Focus_V396,Abonnement,Julie Petit,Podcast,Focus mental,Ce qui a changé ma vie...,Septembre 2025,Arrêtée,25/09/2025,2419,99,8708.4,3.6,24.43,457944,9159,2
AG1_Imagestatique_Léa_Routine_V397,Bundle Complet,Léa Garcia,Image statique,Routine matinale,3 mois plus tard...,Juillet 2025,Arrêtée,22/07/2025,6945,132,29585.7,4.26,52.61,248445,3727,1.5
AG1_Témoignage_Antoine_Digestion_V398,Abonnement,Antoine Roux,Témoignage,Digestion,Avant chaque entraînement...,Octobre 2025,Archivée,09/10/2025,7779,111,8479.11,1.09,70.08,265416,5839,2.2
